Sample ID,Toxic
DMSO_NoCyt,0
DMSO_IL-1,0
DMSO_LPS,0
DMSO_TNF,0
DMSO_IL-6,0
DMSO_Mix,0
CIM_NoCyt,0
CIM_IL-1,0
CIM_LPS,0
CIM_TNF,0
CIM_IL-6,0
CIM_Mix,0
RAN_NoCyt,1
RAN_IL-1,1
RAN_LPS,1
RAN_TNF,1
RAN_IL-6,1
RAN_Mix,1
LEV_NoCyt,0
LEV_IL-1,0
LEV_LPS,0
LEV_TNF,0
LEV_IL-6,0
LEV_Mix,0
TRO_NoCyt,1
TRO_IL-1,1
TRO_LPS,1
TRO_TNF,1
TRO_IL-6,1
TRO_Mix,1
BUS_NoCyt,0
BUS_IL-1,0
BUS_LPS,0
BUS_TNF,0
BUS_IL-6,0
BUS_Mix,0
NEF_NoCyt,1
NEF_IL-1,1
NEF_LPS,1
NEF_TNF,1
NEF_IL-6,1
NEF_Mix,1
ASP_NoCyt,0
ASP_IL-1,0
ASP_LPS,0
ASP_TNF,0
ASP_IL-6,0
ASP_Mix,0
NIM_NoCyt,1
NIM_IL-1,1
NIM_LPS,1
NIM_TNF,1
NIM_IL-6,1
NIM_Mix,1
CLA_NoCyt,1
CLA_IL-1,1
CLA_LPS,1
CLA_TNF,1
CLA_IL-6,1
CLA_Mix,1
TEL_NoCyt,1
TEL_IL-1,1
TEL_LPS,1
TEL_TNF,1
TEL_IL-6,1
TEL_Mix,1
